threaded mqtt broker listening on 0.0.0.0:1883
1778881628.808361 accept ('127.0.0.1', 49144)
1778881799.527794 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881799.528550 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881807.144750 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881807.145020 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881809.177651 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881809.178423 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881811.440055 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881811.440896 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881825.130532 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881825.131315 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881832.059993 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881832.060857 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881835.856181 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881835.856998 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881842.895956 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881842.896817 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881857.049569 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881857.050350 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881859.532561 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881859.533428 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881861.916468 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881861.917238 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881869.195891 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881869.196752 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881870.918943 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881870.919793 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881872.630763 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881872.631570 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881874.613934 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881874.614710 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881880.571416 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881880.572233 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881885.096813 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881885.097583 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881887.238528 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881887.239336 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881889.581553 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881889.582398 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881894.456947 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881894.457760 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881899.894994 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881899.895778 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881901.756990 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881901.757793 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881906.644291 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881906.645088 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881912.071223 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881912.072057 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881914.114522 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881914.115301 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881918.129676 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881918.130434 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881930.306992 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881930.307762 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881932.349528 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881932.350307 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881939.970158 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881939.970934 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881941.952539 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881941.953401 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881943.875815 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881943.876576 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881945.707510 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881945.708391 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881957.453303 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881957.454106 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881964.543107 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881964.543540 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881974.288390 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881974.288711 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881981.679457 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881981.680286 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778881991.254379 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778881991.255174 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882007.626173 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882007.626970 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882022.656976 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882022.657771 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882039.249120 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882039.249942 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882051.216262 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882051.217067 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882053.739247 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882053.739756 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882056.523918 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882056.524717 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882063.052711 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882063.053523 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882065.987215 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882065.988039 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882076.540929 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882076.541748 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882086.875294 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882086.876104 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882088.447048 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882088.447867 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882090.951607 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882090.952412 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882097.772073 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882097.772888 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882100.386482 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882100.387317 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882102.589293 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882102.590153 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882104.482768 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882104.483548 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882112.002289 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882112.003094 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882114.226112 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882114.226901 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882116.177904 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882116.178744 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882121.476119 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882121.476906 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882124.079078 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882124.079933 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882126.122695 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882126.123455 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882129.357028 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882129.357925 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882136.107050 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882136.107855 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
