threaded mqtt broker listening on 0.0.0.0:1883
1778785724.895123 accept ('127.0.0.1', 58280)
1778785740.371538 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785740.591406 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785740.592042 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785740.821549 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785740.822186 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785741.051692 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785741.052327 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785741.282032 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785741.282662 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785741.511932 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785741.512157 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785741.742514 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785741.743138 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785741.962901 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785741.963527 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785742.203008 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785742.203632 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785742.443577 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785742.444209 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785742.684056 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785742.684788 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785742.934479 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785742.935102 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785743.184934 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785743.185558 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785743.415335 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785743.415981 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785743.645650 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785743.646275 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785743.865910 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785743.866539 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785744.086139 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785744.086762 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785744.306225 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785744.306806 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785744.526758 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785744.527300 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785744.746934 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785744.747557 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785744.966974 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785744.967597 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785745.187653 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785745.188292 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785745.417393 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785745.417644 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785745.637984 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785745.638623 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785745.868209 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785745.868875 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785746.088597 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785746.089268 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785746.308889 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785746.309583 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785746.539159 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785746.539788 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785746.779464 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785746.780100 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785747.009694 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785747.010347 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785747.239989 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785747.240597 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785747.460268 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785747.460921 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785747.680570 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785747.681217 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785747.900851 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785747.901467 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785748.121088 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785748.121728 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785748.341139 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785748.341819 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785748.561535 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785748.562167 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785748.781852 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785748.782478 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785749.002133 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785749.002814 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785749.222313 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785749.222945 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785749.442575 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785749.443206 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785749.662862 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785749.663479 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785749.892568 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785749.892825 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785750.373827 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785750.374448 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785750.624209 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785750.624880 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785750.864575 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785750.865228 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785751.095104 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785751.095744 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
1778785751.335504 publish topic=ipi/moved-location/latency/av-1/request bytes=313 forwarded=1
1778785751.336143 publish topic=ipi/moved-location/latency/av-1/ack bytes=181 forwarded=1
