threaded mqtt broker listening on 0.0.0.0:1883
1778794224.075686 accept ('127.0.0.1', 57598)
1778794374.500513 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794374.505172 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794377.778359 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794377.783726 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794381.031383 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794381.036739 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794384.928020 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794384.931617 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794388.574387 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794388.580016 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794392.125378 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794392.127261 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794396.898779 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794396.904431 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794400.364497 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794400.370152 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794405.045099 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794405.050508 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794408.318210 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794408.323843 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794412.050044 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794412.052015 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794417.163882 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794417.169342 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794420.991209 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794420.996852 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794424.710613 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794424.716234 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794429.206501 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794429.212130 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794433.105441 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794433.110956 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794438.211741 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794438.217208 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794442.158669 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794442.164147 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794445.838013 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794445.843780 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794451.204303 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794451.209914 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794455.162735 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794455.168105 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794459.347351 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794459.351669 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794464.155328 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794464.160953 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794468.121618 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794468.127010 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794472.629570 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794472.634973 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794476.220475 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794476.225933 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794479.451243 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794479.456841 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794482.851018 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
1778794482.852979 publish topic=ipi/moved-location/latency/av-1/ack bytes=235 forwarded=1
1778794486.926287 publish topic=ipi/moved-location/latency/av-1/request bytes=1048917 forwarded=1
