threaded mqtt broker listening on 0.0.0.0:1883
1779475585.539772 accept ('127.0.0.1', 52104)
1779475600.451407 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475600.700992 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475600.701662 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475600.950833 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475600.951099 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475601.191141 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475601.191353 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475601.431687 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475601.432369 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475601.672031 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475601.672760 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475601.922360 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475601.923041 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475602.162704 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475602.163376 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475602.402906 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475602.403575 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475602.643302 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475602.644016 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475602.883503 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475602.884162 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475603.133792 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475603.134447 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475603.374151 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475603.374825 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475603.614410 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475603.615125 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475603.864806 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475603.865506 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475604.124803 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475604.125506 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475604.375304 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475604.376022 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475604.625374 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475604.626057 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
1779475604.875814 publish topic=ipi/cloudy-run-1/latency/av-1/request bytes=16699 forwarded=1
1779475604.876513 publish topic=ipi/cloudy-run-1/latency/av-1/ack bytes=233 forwarded=1
