threaded mqtt broker listening on 0.0.0.0:1883
1779386483.891569 accept ('127.0.0.1', 33572)
1779386483.892287 subscribe ('127.0.0.1', 33572) ipi/small-rain-run-1/latency/av-1/request
1779386490.965785 accept ('10.120.121.33', 36160)
1779386490.995361 subscribe ('10.120.121.33', 36160) ipi/small-rain-run-1/latency/av-1/ack
1779386491.035385 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1347 forwarded=1
1779386491.035637 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779386491.266136 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1347 forwarded=1
1779386491.266760 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779386491.496128 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1347 forwarded=1
1779386491.496803 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779386491.726660 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1347 forwarded=1
1779386491.727299 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779386491.956957 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1347 forwarded=1
1779386491.957604 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779386492.187055 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1347 forwarded=1
1779386492.187700 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779386492.417291 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1347 forwarded=1
1779386492.417938 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779386492.647433 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1347 forwarded=1
1779386492.648061 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779386492.887603 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1347 forwarded=1
1779386492.887842 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779386493.108415 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1349 forwarded=1
1779386493.109098 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=232 forwarded=1
1779386493.348706 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=1349 forwarded=1
1779386493.349346 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=232 forwarded=1
