threaded mqtt broker listening on 0.0.0.0:1883
1779385895.682255 accept ('127.0.0.1', 33752)
1779385910.105717 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385910.335377 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385910.335759 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385910.565558 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385910.566182 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385910.795363 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385910.795584 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385911.036083 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385911.036793 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385911.296304 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385911.296987 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385911.556537 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385911.557198 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385911.796782 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385911.797410 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385912.037132 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385912.037755 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385912.287367 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385912.288012 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385912.517750 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385912.518372 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385912.747941 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385912.748574 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385912.988006 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385912.988641 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385913.218167 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385913.218791 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385913.448397 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385913.449053 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
1779385913.688479 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=579 forwarded=1
1779385913.689127 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=231 forwarded=1
