threaded mqtt broker listening on 0.0.0.0:1883
1779385321.392107 accept ('127.0.0.1', 58596)
1779385321.392756 subscribe ('127.0.0.1', 58596) ipi/small-rain-run-1/latency/av-1/request
1779385328.364327 accept ('10.120.121.33', 41442)
1779385328.384249 subscribe ('10.120.121.33', 41442) ipi/small-rain-run-1/latency/av-1/ack
1779385328.414294 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=302 forwarded=1
1779385328.414526 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385328.645106 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=302 forwarded=1
1779385328.645736 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385328.885318 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=302 forwarded=1
1779385328.885940 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385329.115524 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=302 forwarded=1
1779385329.116144 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385329.345897 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=302 forwarded=1
1779385329.346513 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385329.576441 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=302 forwarded=1
1779385329.577111 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385329.806735 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=302 forwarded=1
1779385329.807367 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385330.046957 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=302 forwarded=1
1779385330.047598 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385330.287034 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=302 forwarded=1
1779385330.287668 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385330.517167 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385330.517785 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385330.737568 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385330.738209 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385330.957900 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385330.958627 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385331.178078 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385331.178710 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385331.398299 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385331.398942 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385331.618650 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385331.619289 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385331.848857 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385331.849459 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385332.079165 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385332.079804 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385332.319472 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385332.320115 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385332.560023 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385332.560642 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385332.780394 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385332.781050 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
1779385333.010637 publish topic=ipi/small-rain-run-1/latency/av-1/request bytes=303 forwarded=1
1779385333.011317 publish topic=ipi/small-rain-run-1/latency/av-1/ack bytes=181 forwarded=1
