minimal mqtt broker listening on 0.0.0.0:1883
1778686185.332836 accept ('127.0.0.1', 55102)
1778686200.097008 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686200.097442 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686200.327374 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686200.327816 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686200.547693 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686200.548129 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686200.777989 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686200.778420 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686200.998441 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686200.998906 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686201.218715 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686201.219141 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686201.438820 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686201.439236 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686201.659229 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686201.659662 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686201.879594 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686201.880032 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686202.109909 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686202.110336 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686202.340137 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686202.340572 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686202.570270 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686202.570732 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686202.800586 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686202.801049 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686203.030601 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686203.031032 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686203.250943 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686203.251377 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686203.471126 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686203.471558 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686203.691470 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686203.691901 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686203.911767 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686203.912200 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686204.132167 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686204.132723 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686204.352385 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686204.352866 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686204.592582 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686204.593049 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686204.813001 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686204.813429 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686205.032978 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686205.033410 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778686205.253478 publish topic=ipi/fintechparking/latency/av-1/request bytes=321 forwarded=1
1778686205.253915 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
