minimal mqtt broker listening on 0.0.0.0:1883
1778697314.605047 accept ('127.0.0.1', 59976)
1778697329.445123 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697329.445576 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697329.675636 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697329.676084 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697329.896016 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697329.896467 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697330.126186 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697330.126633 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697330.346417 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697330.346880 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697330.586651 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697330.587081 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697330.817139 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697330.817584 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697331.047362 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697331.047772 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697331.277737 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697331.278194 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697331.508025 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697331.508471 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697331.738413 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697331.738949 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697331.968502 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697331.968974 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697332.198877 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697332.199329 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697332.429115 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697332.429566 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697332.669436 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697332.669887 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697332.899532 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697332.899689 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697333.129733 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697333.129851 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697333.350388 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697333.350823 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697333.570404 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697333.570843 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697333.790904 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697333.791336 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697334.021122 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697334.021671 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697334.251479 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697334.251909 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697334.481879 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697334.482320 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697334.722285 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697334.722714 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697334.952598 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697334.953058 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697335.172724 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697335.173149 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697335.393059 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
1778697335.393488 publish topic=ipi/fintechparking/latency/av-1/ack bytes=181 forwarded=1
1778697335.613157 publish topic=ipi/fintechparking/latency/av-1/request bytes=347 forwarded=1
